,LEAGUE,SEASON,"GROSS P/W (GBP, K)","GROSS P/Y (GBP, K)","ADJ. GROSS (GBP, K)","KEEPER (GBP, K)","DEFENSE (GBP, K)","MIDFIELD (GBP, K)","FORWARD (GBP, K)"
arsenal,Premier League,2023-2024,3298,171496,171496,11180,47476,31460,81380
arsenal,Premier League,2022-2023,2558,133016,133016,8060,38896,37960,48100
aston-villa,Premier League,2023-2024,2213,115070,115070,9360,42640,29640,33430
aston-villa,Premier League,2022-2023,2123,110390,110390,9880,35620,30160,34730
bournemouth,Premier League,2023-2024,1083,56290,56290,6500,14456,11934,23400
bournemouth,Premier League,2022-2023,957,49764,49764,5044,17368,9672,17680
brentford,Premier League,2023-2024,859,44642,44642,3900,16952,11310,12480
brentford,Premier League,2022-2023,698,36296,36296,2600,13936,9100,10660
brighton,Premier League,2023-2024,1240,64480,64480,3380,19240,12870,28990
brighton,Premier League,2022-2023,863,44876,44876,2860,13780,13676,14560
chelsea,Premier League,2023-2024,3018,156910,156910,6240,73840,30030,46800
chelsea,Premier League,2022-2023,4357,226564,226564,14560,80964,54080,76960
crystal-palace,Premier League,2023-2024,1415,73580,73580,8190,24700,18720,21970
crystal-palace,Premier League,2022-2023,1355,70460,70460,7800,21580,23140,17940
everton,Premier League,2023-2024,1524,79238,79238,7280,24492,23780,23686
everton,Premier League,2022-2023,1621,84292,84292,9620,34632,18460,21580
fulham,Premier League,2023-2024,1308,67990,67990,8060,19890,11960,28080
fulham,Premier League,2022-2023,1200,62400,62400,5460,23920,12740,20280
ipswich-town,Championship,2023-2024,286,14888,14888,942,6392,2012,5542
leicester,Championship,2023-2024,1148,59670,59670,5460,17654,18850,17706
leicester,Premier League,2022-2023,1630,84760,84760,4680,31980,20020,28080
liverpool,Premier League,2023-2024,2670,138840,138840,11440,44980,37700,44720
liverpool,Premier League,2022-2023,3225,167700,167700,11440,46540,54340,55380
manchester-city,Premier League,2023-2024,3786,196872,196872,13832,63440,26000,93600
manchester-city,Premier League,2022-2023,3830,199160,199160,9620,71500,39780,78260
manchester-united,Premier League,2023-2024,3904,203026,203026,10400,67366,38220,87040
manchester-united,Premier League,2022-2023,4753,247130,247130,25740,72930,52520,95940
newcastle,Premier League,2023-2024,1695,88140,88140,6240,32864,26624,22412
newcastle,Premier League,2022-2023,1769,91962,91962,7800,32136,19370,32656
nottingham-forest,Premier League,2023-2024,1418,73740,73740,7910,26000,14040,25790
nottingham-forest,Premier League,2022-2023,1476,76750,76750,10790,25480,15860,24620
southampton,Championship,2023-2024,837,43498,43498,3640,12610,12584,14664
southampton,Premier League,2022-2023,1198,62296,62296,4680,13416,15860,28340
tottenham,Premier League,2023-2024,2543,132210,132210,14170,36660,29900,51480
tottenham,Premier League,2022-2023,2250,117000,117000,9880,40560,26780,39780
west-ham,Premier League,2023-2024,1983,103116,103116,9828,29900,23920,39468
west-ham,Premier League,2022-2023,1710,88920,88920,11440,29640,8060,39780
wolverhampton,Premier League,2023-2024,1060,55120,55120,3120,17420,10140,24440
wolverhampton,Premier League,2022-2023,1304,67782,67782,2600,11856,19396,33930
